,Team,Year,Pos.,Salary
253,CHW,2022,CF,6000000
254,CHW,2022,DH,1421000
255,CHW,2022,LF,22533333
256,CHW,2022,RF,2000000
257,CHW,2022,RP,18510000
258,CHW,2022,RP/CL,21333333
259,CHW,2022,SP,33030000
260,CHW,2022,SS,10200000
261,CHW,2023,1B,760000
262,CHW,2023,2B,723000
263,CHW,2023,3B,19240000
264,CHW,2023,C,18982000
265,CHW,2023,CF,10950000
266,CHW,2023,DH,10333333
267,CHW,2023,LF,8600000
268,CHW,2023,OF,735000
269,CHW,2023,RF,720000
270,CHW,2023,RP,11007000
271,CHW,2023,RP/CL,14333333
272,CHW,2023,SP,16470000
273,CHW,2023,SS,15500000
274,CIN,2020,1B,25000000
275,CIN,2020,2B,12000000
276,CIN,2020,3B,10105714
277,CIN,2020,C,5971000
278,CIN,2020,CF,6000000
279,CIN,2020,LF,605000
280,CIN,2020,RF,18763500
281,CIN,2020,RP,19206500
282,CIN,2020,RP/CL,9000000
283,CIN,2020,SP,34976960
284,CIN,2020,SS,5500000
285,CIN,2021,1B,25000000
286,CIN,2021,2B,1750000
287,CIN,2021,3B,25936714
288,CIN,2021,C,4758000
289,CIN,2021,CF,7570500
290,CIN,2021,LF,3150000
291,CIN,2021,OF,570500
292,CIN,2021,RF,16154000
293,CIN,2021,RP,11770000
294,CIN,2021,SP,32721667
295,CIN,2021,SS,1781000
296,CIN,2022,1B,25000000
297,CIN,2022,2B,5960000
298,CIN,2022,3B,700000
299,CIN,2022,C,2120000
300,CIN,2022,CF,1950000
301,CIN,2022,DH,16000000
302,CIN,2022,LF,710000
303,CIN,2022,OF,1400000
304,CIN,2022,RF,720000
305,CIN,2022,RP,13475000
306,CIN,2022,RP/CL,700000
307,CIN,2022,SP,16027500
308,CIN,2022,SS,4557500
309,CIN,2023,1B,25000000
310,CIN,2023,2B,760000
311,CIN,2023,3B,1440000
312,CIN,2023,C,4415000
313,CIN,2023,CF,1950000
314,CIN,2023,LF,722500
315,CIN,2023,OF,720000
316,CIN,2023,RF,740000
317,CIN,2023,RP,8827500
318,CIN,2023,RP/CL,730000
319,CIN,2023,SP,10025833
320,CIN,2023,SS,4102000
321,CLE,2020,1B,21401834
322,CLE,2020,2B,6918000
323,CLE,2020,3B,6850000
324,CLE,2020,C,8625000
325,CLE,2020,CF,2448400
326,CLE,2020,DH,586400
327,CLE,2020,LF,574500
328,CLE,2020,RF,1450000
329,CLE,2020,RP,15109900
330,CLE,2020,SP,12572000
331,CLE,2020,SS,17500000
332,CLE,2021,1B,570500
333,CLE,2021,3B,9400000
334,CLE,2021,C,9780000
335,CLE,2021,CF,1167100
336,CLE,2021,DH,602400
337,CLE,2021,OF,570500
338,CLE,2021,RF,1164500
339,CLE,2021,RP,10387500
340,CLE,2021,RP/CL,571800
341,CLE,2021,SP,4160800
342,CLE,2021,SS,3548200
343,CLE,2022,1B,1901100
344,CLE,2022,2B,706600
345,CLE,2022,3B,22000000
346,CLE,2022,C,5600000
347,CLE,2022,CF,2350000
348,CLE,2022,LF,700000
349,CLE,2022,OF,700000
350,CLE,2022,RF,700000
351,CLE,2022,RP,5627100
352,CLE,2022,RP/CL,1900000
353,CLE,2022,SP,12634000
354,CLE,2022,SS,5650000
355,CLE,2023,1B,19850000
356,CLE,2023,2B,1571429
357,CLE,2023,3B,14000000
358,CLE,2023,C,2690000
359,CLE,2023,CF,2900000
360,CLE,2023,LF,727300
361,CLE,2023,OF,722600
362,CLE,2023,P,720000
363,CLE,2023,RF,720100
364,CLE,2023,RP,7163300
365,CLE,2023,RP/CL,2000000
366,CLE,2023,SP,33289500
367,CLE,2023,SS,1440100
368,COL,2020,1B,8565500
369,COL,2020,2B,1705500
370,COL,2020,3B,35025000
371,COL,2020,C,3475000
372,COL,2020,CF,7864000
373,COL,2020,LF,1000000
374,COL,2020,RF,21333333
375,COL,2020,RP,10893500
376,COL,2020,RP/CL,1080000
377,COL,2020,SP,14412000
378,COL,2020,SS,9565500
379,COL,2021,1B,1570500
380,COL,2021,2B,3955500
381,COL,2021,3B,570500
382,COL,2021,C,1872500
383,COL,2021,LF,1950000
384,COL,2021,OF,575500
385,COL,2021,RF,21905833
386,COL,2021,RP,11027000
387,COL,2021,RP/CL,2020500
388,COL,2021,SP,24112000
389,COL,2021,SS,19075500
390,COL,2022,1B,8650000
391,COL,2022,2B,710000
392,COL,2022,3B,5700000
393,COL,2022,C,3700000
394,COL,2022,CF,705000
395,COL,2022,DH,21333333
396,COL,2022,LF,18702000
397,COL,2022,P,700000
398,COL,2022,RF,10333333
399,COL,2022,RP,25562000
400,COL,2022,RP/CL,3725000
401,COL,2022,SP,32112500
402,COL,2022,SS,8264500
403,COL,2023,1B,8692000
404,COL,2023,2B,3422000
405,COL,2023,3B,11742000
406,COL,2023,C,6220000
407,COL,2023,CF,720000
408,COL,2023,LF,7750000
409,COL,2023,P,720000
410,COL,2023,RF,53666668
411,COL,2023,RP,21349000
412,COL,2023,RP/CL,722000
413,COL,2023,SP,37642000
414,COL,2023,SS,722000
415,DET,2020,1B,6675000
416,DET,2020,2B,6663500
417,DET,2020,3B,1154000
418,DET,2020,C,4715400
419,DET,2020,CF,1575000
420,DET,2020,DH,30000000
421,DET,2020,INF,563500
422,DET,2020,OF,1127000
423,DET,2020,RF,1137400
424,DET,2020,RP,33091900
425,DET,2020,SP,11957000
426,DET,2020,SS,1261700
427,DET,2021,1B,2850000
428,DET,2021,2B,7170500
429,DET,2021,3B,1152200
430,DET,2021,C,1711500
431,DET,2021,DH,30000000
432,DET,2021,LF,5500000
433,DET,2021,OF,1711500
434,DET,2021,RF,587100
435,DET,2021,RP,10508200
436,DET,2021,RP/CL,570500
437,DET,2021,SP,17905100
438,DET,2021,SS,578500
439,DET,2022,1B,700000
440,DET,2022,2B,8200000
441,DET,2022,3B,7075000
442,DET,2022,C,9166700
443,DET,2022,CF,1409400
444,DET,2022,DH,32000000
445,DET,2022,LF,4700000
446,DET,2022,RF,1400000
447,DET,2022,RP,9424000
448,DET,2022,RP/CL,6703700
449,DET,2022,SP,20454800
450,DET,2022,SS,22100000
451,DET,2023,1B,723100
452,DET,2023,2B,2174500
453,DET,2023,3B,726600
454,DET,2023,C,1466100
455,DET,2023,CF,727800
456,DET,2023,DH,36300000
457,DET,2023,LF,1445000
458,DET,2023,RF,727100
459,DET,2023,RP,9738700
460,DET,2023,RP/CL,726000
461,DET,2023,SP,39025000
462,DET,2023,SS,22000000
463,HOU,2020,1B,8700000
464,HOU,2020,2B,29563500
465,HOU,2020,3B,13573700
466,HOU,2020,C,4159300
467,HOU,2020,CF,21571300
468,HOU,2020,DH,607000
469,HOU,2020,LF,16568700
470,HOU,2020,RF,13000000
471,HOU,2020,RP,9889390
472,HOU,2020,RP/CL,18750000
473,HOU,2020,SP,74980100
474,HOU,2020,SS,10600000
475,HOU,2021,1B,8500000
476,HOU,2021,2B,29000000
477,HOU,2021,3B,13570500
478,HOU,2021,C,7000000
479,HOU,2021,CF,570500
480,HOU,2021,DH,609000
481,HOU,2021,LF,16000000
482,HOU,2021,OF,1141000
483,HOU,2021,P,1141000
484,HOU,2021,RF,624300
