Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,Year,Team
27,Pittsburgh Pirates,61,101,0.377,3.8,5.1,-1.4,0.0,-1.4,58-104,3,17-17,23-53,11-21,10-10,37-44,24-57,5-3,20-22,47-65,14-36,29-59,32-42,2021,PIT
27,Pittsburgh Pirates,62,100,0.383,3.6,5.0,-1.4,0.0,-1.4,58-104,4,9-26,35-41,14-17,4-16,34-47,28-53,4-9,21-27,40-67,22-33,26-64,36-36,2022,PIT
15,San Diego Padres,82,80,0.506,4.6,4.0,0.6,0.0,0.6,92-70,-10,16-16,11-21,27-25,28-18,44-37,38-43,2-12,9-23,54-61,28-19,40-51,42-29,2023,SDP
3,San Diego Padres,37,23,0.617,5.4,4.0,1.4,0.0,1.4,38-22,-1,0-0,0-0,24-16,13-7,21-11,16-12,4-0,8-8,27-13,10-10,6-7,31-16,2020,SDP
17,San Diego Padres,79,83,0.488,4.5,4.4,0.1,0.1,0.2,83-79,-4,15-18,16-17,34-42,14-6,45-36,34-47,8-8,21-26,55-63,24-20,39-44,40-39,2021,SDP
10,San Diego Padres,89,73,0.549,4.4,4.1,0.3,0.0,0.3,86-76,3,19-15,21-11,41-35,8-12,44-37,45-36,12-5,30-17,58-50,31-23,38-44,51-29,2022,SDP
1,San Francisco Giants,107,55,0.66,5.0,3.7,1.3,-0.1,1.2,103-59,4,21-11,20-14,53-23,13-7,54-27,53-28,10-9,31-17,80-35,27-20,35-28,72-27,2021,SEA
16,San Francisco Giants,81,81,0.5,4.4,4.3,0.1,0.0,0.1,83-79,-2,19-14,19-14,33-43,10-10,44-37,37-44,7-7,22-27,52-55,29-26,31-47,50-34,2022,SEA
18,San Francisco Giants,79,83,0.488,4.2,4.4,-0.3,0.0,-0.3,76-86,3,13-18,20-13,26-26,20-26,45-36,34-47,11-5,25-19,51-63,28-20,46-55,33-28,2023,SEA
16,San Francisco Giants,29,31,0.483,5.0,5.0,0.0,0.3,0.3,30-30,-1,0-0,0-0,18-22,11-9,19-14,10-17,2-3,8-8,15-21,14-10,7-19,22-12,2020,SEA
19,Seattle Mariners,27,33,0.45,4.2,5.1,-0.8,-0.1,-0.9,25-35,2,0-0,0-0,20-20,7-13,14-10,13-23,2-3,7-8,19-21,8-12,8-12,19-21,2020,SFG
11,Seattle Mariners,90,72,0.556,4.3,4.6,-0.3,0.1,-0.2,76-86,14,19-15,15-17,47-29,9-11,46-35,44-37,14-7,33-19,54-44,36-28,44-34,46-38,2021,SFG
9,Seattle Mariners,90,72,0.556,4.3,3.8,0.4,0.0,0.4,89-73,1,16-17,21-12,41-35,12-8,46-35,44-37,11-5,34-22,68-52,22-20,38-33,52-39,2022,SFG
